Time,GeoType,GeoID,GeoRank,Geography,"Average annual age-adjusted rate per 10,000",Average annual number,"Average annual rate per 10,000"
2012-2014,NTA2010,4793,8,Starrett City,174.1,171,164.0
2012-2014,NTA2010,4795,8,Erasmus,139.4,302,138.7
2012-2014,NTA2010,4796,8,Rugby-Remsen Village,187.3,794,181.7
2012-2014,NTA2010,6101,8,Marble Hill-Inwood,96.9,394,95.7
2012-2014,NTA2010,6103,8,Central Harlem North-Polo Grounds,339.4,"2,167",340.4
2012-2014,NTA2010,6104,8,Hamilton Heights,144.0,593,141.4
2012-2014,NTA2010,6106,8,Manhattanville,191.8,353,190.8
2012-2014,NTA2010,6109,8,Morningside Heights,107.8,448,95.3
2012-2014,NTA2010,6111,8,Central Harlem South,242.2,923,238.4
2012-2014,NTA2010,6112,8,Upper West Side,65.6,689,60.3
2012-2014,NTA2010,6113,8,Hudson Yards-Chelsea-Flatiron-Union Square,70.0,450,63.6
2012-2014,NTA2010,6114,8,Lincoln Square,39.7,190,36.0
2012-2014,NTA2010,6115,8,Clinton,70.0,278,61.0
2012-2014,NTA2010,6117,8,Midtown-Midtown South,30.7,75,27.1
2012-2014,NTA2010,6119,8,Turtle Bay-East Midtown,15.9,68,14.5
2012-2014,NTA2010,6120,8,Murray Hill-Kips Bay,110.3,402,93.5
2012-2014,NTA2010,6121,8,Gramercy,52.1,109,42.8
2012-2014,NTA2010,6122,8,East Village,86.0,271,68.7
2012-2014,NTA2010,6123,8,West Village,14.5,82,13.5
2012-2014,NTA2010,6124,8,SoHo-TriBeCa-Civic Center-Little Italy,14.5,51,13.4
2012-2014,NTA2010,6125,8,Battery Park City-Lower Manhattan,36.1,91,22.0
2012-2014,NTA2010,6127,8,Chinatown,65.8,252,63.9
2012-2014,NTA2010,6128,8,Lower East Side,183.4,"1,105",177.9
2012-2014,NTA2010,6131,8,Lenox Hill-Roosevelt Island,19.2,130,18.3
2012-2014,NTA2010,6132,8,Yorkville,32.6,207,29.1
2012-2014,NTA2010,6133,8,East Harlem South,324.3,"1,476",318.0
2012-2014,NTA2010,6134,8,East Harlem North,322.5,"1,494",320.1
2012-2014,NTA2010,6135,8,Washington Heights North,64.6,379,64.1
2012-2014,NTA2010,6136,8,Washington Heights South,105.7,782,104.9
2012-2014,NTA2010,6140,8,Upper East Side-Carnegie Hill,15.6,69,14.3
2012-2014,NTA2010,6150,8,Stuyvesant Town-Cooper Village,12.9,24,11.9
2012-2014,NTA2010,8101,8,South Jamaica,162.8,491,161.8
2012-2014,NTA2010,8102,8,Springfield Gardens North,126.0,268,121.5
2012-2014,NTA2010,8103,8,Springfield Gardens South-Brookville,95.1,155,94.2
2012-2014,NTA2010,8105,8,Rosedale,73.8,156,73.6
2012-2014,NTA2010,8106,8,Jamaica Estates-Holliswood,41.3,88,40.4
2012-2014,NTA2010,8107,8,Hollis,97.4,168,96.7
2012-2014,NTA2010,8108,8,St. Albans,110.1,466,108.8
2012-2014,NTA2010,8110,8,Breezy Point-Belle Harbor-Rockaway Park-Broad Channel,47.8,112,50.9
2012-2014,NTA2010,8112,8,Hammels-Arverne-Edgemere,161.1,435,161.0
2012-2014,NTA2010,8115,8,Far Rockaway-Bayswater,135.2,523,134.2
2012-2014,NTA2010,8117,8,Forest Hills,25.6,188,25.7
2012-2014,NTA2010,8118,8,Rego Park,24.4,56,23.2
2012-2014,NTA2010,8119,8,Glendale,52.7,134,51.7
2012-2014,NTA2010,8120,8,Ridgewood,70.7,389,70.3
2012-2014,NTA2010,8121,8,Middle Village,30.9,94,30.8
2012-2014,NTA2010,8122,8,Flushing,34.1,209,34.2
2012-2014,NTA2010,8123,8,College Point,45.5,89,44.0
2012-2014,NTA2010,8125,8,Corona,67.4,292,66.0
2012-2014,NTA2010,8126,8,North Corona,42.4,158,38.6
2012-2014,NTA2010,8127,8,East Elmhurst,77.2,133,77.2
2012-2014,NTA2010,8128,8,Jackson Heights,35.8,299,34.9
2012-2014,NTA2010,8129,8,Elmhurst,35.0,237,33.9
2012-2014,NTA2010,8130,8,Maspeth,38.2,84,38.6
2012-2014,NTA2010,8131,8,Hunters Point-Sunnyside-West Maspeth,38.8,203,34.5
2012-2014,NTA2010,8133,8,Cambria Heights,69.4,104,64.0
2012-2014,NTA2010,8134,8,Queens Village,62.3,264,61.2
2012-2014,NTA2010,8135,8,Briarwood-Jamaica Hills,51.8,167,50.8
2012-2014,NTA2010,8137,8,Kew Gardens Hills,33.9,102,33.7
2012-2014,NTA2010,8138,8,Pomonok-Flushing Heights-Hillcrest,98.6,252,89.2
2012-2014,NTA2010,8141,8,Fresh Meadows-Utopia,19.2,28,18.9
2012-2014,NTA2010,8142,8,Oakland Gardens,17.0,40,17.4
2012-2014,NTA2010,8143,8,Bellerose,38.1,81,36.9
2012-2014,NTA2010,8144,8,Glen Oaks-Floral Park-New Hyde Park,23.6,43,22.6
2012-2014,NTA2010,8145,8,Douglas Manor-Douglaston-Little Neck,16.5,31,14.8
2012-2014,NTA2010,8146,8,Bayside-Bayside Hills,23.3,85,22.9
2012-2014,NTA2010,8147,8,Ft. Totten-Bay Terrace-Clearview,21.1,38,19.8
2012-2014,NTA2010,8148,8,Auburndale,15.9,27,16.1
2012-2014,NTA2010,8149,8,Whitestone,22.3,54,20.8
2012-2014,NTA2010,8150,8,Elmhurst-Maspeth,23.3,47,22.2
2012-2014,NTA2010,8151,8,Murray Hill,27.4,119,26.9
2012-2014,NTA2010,8152,8,East Flushing,28.8,63,28.3
2012-2014,NTA2010,8153,8,Woodhaven,77.1,364,76.9
2012-2014,NTA2010,8154,8,Richmond Hill,90.2,452,90.2
2012-2014,NTA2010,8155,8,South Ozone Park,72.7,453,70.3
2012-2014,NTA2010,8156,8,Ozone Park,61.2,106,59.9
2012-2014,NTA2010,8157,8,Lindenwood-Howard Beach,38.4,85,36.3
2012-2014,NTA2010,8160,8,Kew Gardens,32.5,63,32.0
2012-2014,NTA2010,8161,8,Jamaica,117.0,494,116.6
2012-2014,NTA2010,8162,8,Queensboro Hill,25.0,43,23.7
2012-2014,NTA2010,8163,8,Woodside,30.5,113,29.4
2012-2014,NTA2010,8166,8,Laurelton,83.7,176,79.5
2012-2014,NTA2010,8168,8,Queensbridge-Ravenswood-Long Island City,176.1,247,171.5
2012-2014,NTA2010,8170,8,Astoria,55.3,338,50.9
2012-2014,NTA2010,8171,8,Old Astoria,109.1,241,101.9
2012-2014,NTA2010,8172,8,Steinway,51.7,200,48.4
2012-2014,NTA2010,8176,8,Baisley Park,136.8,398,137.0
2012-2014,NTA2010,8501,8,Annadale-Huguenot-Prince's Bay-Eltingville,24.7,55,24.0
